episode,seed,steps,return,success,final_distance,min_distance
79,5121,50,-3.0,1,0.01881826752620995,0.01823943961777426
80,5122,50,0.0,1,0.017941101647461977,0.017941101647461974
81,5123,50,-4.567439436912537,1,0.004765487118154924,0.004589982279703016
82,5124,50,-9.738752722740173,1,0.021750182546828884,0.021101108742190896
83,5125,50,-9.572127103805542,1,0.014922665045652471,0.014922665045652471
84,5126,50,0.0,1,0.021082711462872838,0.021082711462872838
85,5127,50,-3.0,1,0.016852711262783076,0.01659447247560947
86,5128,50,-7.1807801723480225,1,0.009365241519518598,0.009365241519518598
87,5129,50,-7.1413140296936035,1,0.025845616482216303,0.025845616482216303
88,5130,50,-7.320985555648804,1,0.021484857749345037,0.021484857749345037
89,5131,50,-4.0,1,0.015914878922768255,0.015914878922768255
90,5132,50,-4.0,1,0.013109844234686552,0.013109844234686552
91,5133,50,-5.678513526916504,1,0.01752977931225605,0.01752977931225605
92,5134,50,-6.9842071533203125,1,0.008245170152433229,0.008245170152433229
93,5135,50,-4.041385054588318,1,0.010428249025492765,0.010257958144826038
94,5136,50,-3.0,1,0.006764160875222673,0.006764160875222673
95,5137,50,-4.035489201545715,1,0.009412768566357121,0.009412768566357121
96,5138,50,-4.0,1,0.018235915260002986,0.018235915260002986
97,5139,50,-4.0,1,0.017711246163432448,0.011417384704806332
98,5140,50,-4.0,1,0.02101408372529382,0.020544703096434996
99,5141,50,-4.046381115913391,1,0.019752683125144985,0.019339860287037807
100,5142,50,-6.976288318634033,1,0.011100957688098967,0.010886113487247615
101,5143,50,-6.9228538274765015,1,0.02026884684005833,0.02026884684005833
102,5144,50,-6.360075116157532,1,0.0064138086289979345,0.005942942738988694
103,5145,50,-4.426168441772461,1,0.03851630794635768,0.03851630794635768
104,5146,50,-7.969719052314758,1,0.016772034205254274,0.016772034205254274
105,5147,50,-9.228511571884155,1,0.018197765093913035,0.018197765093913035
106,5148,50,-7.520116567611694,1,0.02956272611533948,0.029339080994506047
107,5149,50,-4.304498791694641,1,0.006416838014981929,0.005974123042307652
108,5150,50,-12.351579189300537,1,0.025521842098884282,0.025322453738256968
109,5151,50,-8.0,1,0.014767874993924198,0.014482499681203076
110,5152,50,-4.685264945030212,1,0.025145725822889757,0.01531414674444999
111,5153,50,-9.276387214660645,1,0.034058241393016365,0.034058241393016365
112,5154,50,0.0,1,0.01903767761685372,0.016209206350142415
113,5155,50,-6.293249845504761,1,0.028419826804588814,0.028419826804588814
114,5156,50,-10.095322489738464,1,0.01685432003630629,0.016548922745742906
115,5157,50,-10.493469595909119,1,0.01800038706195588,0.017895634893430455
116,5158,50,-4.994715332984924,1,0.014104688292422458,0.014104688292422458
117,5159,50,-8.388320088386536,1,0.00957189044220337,0.00957189044220337
118,5160,50,-3.0,1,0.020324023557960324,0.020005239673649363
119,5161,50,-4.0,1,0.02106307323727363,0.02106307323727363
120,5162,50,-13.920762062072754,1,0.0026657319673421306,0.002578188846032232
121,5163,50,-4.70289158821106,1,0.023078446660739837,0.023078446660739837
122,5164,50,-13.173517227172852,1,0.02052524304080231,0.020303525817125544
123,5165,50,-3.0,1,0.020543680365864275,0.020543680365864275
124,5166,50,-8.503228783607483,1,0.03599539788406629,0.03599539788406629
125,5167,50,-8.273858308792114,1,0.007058134475556309,0.007058134475556309
126,5168,50,-8.209304094314575,1,0.007063550894561281,0.006761806075221212
127,5169,50,-4.0,1,0.027640941976637908,0.02242832395978711
128,5170,50,-3.0,1,0.005110893591247191,0.005110893591247191
129,5171,50,-3.0,1,0.015892033478168664,0.015574104005509801
130,5172,50,-4.036179423332214,1,0.01924629266550022,0.01924629266550022
131,5173,50,-3.0,1,0.014552385446516698,0.0070996126840752
132,5174,50,-9.772003293037415,1,0.011248669350978869,0.011192663732000448
133,5175,50,-6.0,1,0.02208131123594398,0.017392605157181627
134,5176,50,-3.0,1,0.02730139476520784,0.023284235348131697
135,5177,50,-10.647286295890808,1,0.01374791211977594,0.013508916938243213
136,5178,50,-8.121140360832214,1,0.021862828571615218,0.021862828571615218
137,5179,50,-3.0,1,0.025795289475750934,0.022797779460419287
